Day	Month	Year	DomWater	MakeUpWater	LoopWater	TowerWater	Remainder
3 	 5 	 1997 	 152531 	 710 	 450 	 3970 	 147401
4 	 5 	 1997 	 144816 	 790 	 80 	 5500 	 138446
5 	 5 	 1997 	 157896 	 450 	 0 	 5010 	 152436
6 	 5 	 1997 	 166399 	 1330 	 0 	 7150 	 157919
7 	 5 	 1997 	 170526 	 800 	 0 	 4260 	 165466
8 	 5 	 1997 	 180948 	 800 	 0 	 4890 	 175258
9 	 5 	 1997 	 167948 	 760 	 690 	 7910 	 158588
10 	 5 	 1997 	 185347 	 510 	 70 	 17710 	 167057
11 	 5 	 1997 	 156548 	 260 	 0 	 7180 	 149108
12 	 5 	 1997 	 154352 	 2150 	 0 	 5930 	 146272
13 	 5 	 1997 	 166090 	 2840 	 0 	 5120 	 158130
14 	 5 	 1997 	 182812 	 2130 	 0 	 5150 	 175532
15 	 5 	 1997 	 163600 	 1840 	 50 	 5500 	 156210
16 	 5 	 1997 	 188140 	 1160 	 0 	 17660 	 169320
17 	 5 	 1997 	 190420 	 370 	 0 	 18420 	 171630
18 	 5 	 1997 	 137430 	 220 	 0 	 16170 	 121040
19 	 5 	 1997 	 199800 	 4020 	 0 	 5590 	 190190
20 	 5 	 1997 	 165050 	 3080 	 0 	 7500 	 154470
21 	 5 	 1997 	 169932 	 2480 	 60 	 12720 	 154672
22 	 5 	 1997 	 174918 	 1760 	 0 	 15100 	 158058
23 	 5 	 1997 	 191014 	 1260 	 30 	 11840 	 177884
24 	 5 	 1997 	 144541 	 1300 	 0 	 6200 	 137041
25 	 5 	 1997 	 119132 	 950 	 0 	 6050 	 112132
26 	 5 	 1997 	 170186 	 1850 	 0 	 8050 	 160286
27 	 5 	 1997 	 183050 	 1490 	 0 	 8430 	 173130
28 	 5 	 1997 	 162504 	 2430 	 0 	 6770 	 153304
29 	 5 	 1997 	 180310 	 2930 	 0 	 5940 	 171440
30 	 5 	 1997 	 173464 	 1540 	 90 	 11380 	 160454
31 	 5 	 1997 	 181391 	 1410 	 0 	 12690 	 167291
1 	 6 	 1997 	 144548 	 2040 	 0 	 14530 	 127978
2 	 6 	 1997 	 187557 	 1670 	 40 	 23490 	 162357
3 	 6 	 1997 	 223112 	 1440 	 180 	 25370 	 196122
4 	 6 	 1997 	 166511 	 1970 	 0 	 25180 	 139361
5 	 6 	 1997 	 193769 	 1590 	 0 	 22440 	 169739
6 	 6 	 1997 	 170975 	 1350 	 0 	 18240 	 151385
7 	 6 	 1997 	 157228 	 1020 	 0 	 18820 	 137388
8 	 6 	 1997 	 161818 	 1060 	 0 	 21350 	 139408
9 	 6 	 1997 	 166286 	 1210 	 0 	 26930 	 138146
10 	 6 	 1997 	 197399 	 1460 	 0 	 29470 	 166469
11 	 6 	 1997 	 185037 	 1020 	 0 	 25830 	 158187
12 	 6 	 1997 	 145180 	 1590 	 90 	 27420 	 116080
13 	 6 	 1997 	 111014 	 1710 	 50 	 30200 	 79054
14 	 6 	 1997 	 105730 	 1120 	 0 	 27280 	 77330
15 	 6 	 1997 	 58590 	 1020 	 70 	 29210 	 28290
16 	 6 	 1997 	 8300 	 1010 	 110 	 23130 	 -15950
17 	 6 	 1997 	 67420 	 1250 	 0 	 23860 	 42310
18 	 6 	 1997 	 89000 	 1330 	 0 	 20720 	 66950
19 	 6 	 1997 	 74884 	 1030 	 0 	 22510 	 51344
20 	 6 	 1997 	 148143 	 920 	 0 	 25980 	 121243
21 	 6 	 1997 	 165365 	 910 	 0 	 28890 	 135565
22 	 6 	 1997 	 149903 	 1060 	 20 	 27390 	 121433
23 	 6 	 1997 	 164560 	 1730 	 0 	 35710 	 127120
24 	 6 	 1997 	 88689 	 2530 	 0 	 31550 	 54609
25 	 6 	 1997 	 154457 	 2230 	 0 	 30620 	 121607
26 	 6 	 1997 	 79442 	 2420 	 0 	 31230 	 45792
27 	 6 	 1997 	 113395 	 2760 	 0 	 30585 	 80050
28 	 6 	 1997 	 55067 	 1890 	 0 	 24320 	 28857
29 	 6 	 1997 	 82225 	 1560 	 0 	 22610 	 58055
30 	 6 	 1997 	 75043 	 2010 	 0 	 28700 	 44333
1 	 7 	 1997 	 91267 	 1970 	 0 	 33350 	 55947
2 	 7 	 1997 	 72423 	 1870 	 0 	 22000 	 48553
3 	 7 	 1997 	 89767 	 1730 	 0 	 17820 	 70217
4 	 7 	 1997 	 48161 	 1740 	 0 	 19570 	 26851
5 	 7 	 1997 	 36961 	 1580 	 0 	 20760 	 14621
6 	 7 	 1997 	 67548 	 1980 	 0 	 19960 	 45608
7 	 7 	 1997 	 72418 	 1940 	 0 	 14510 	 55968
8 	 7 	 1997 	 79305 	 2140 	 0 	 12550 	 64615
9 	 7 	 1997 	 50283 	 1500 	 0 	 17000 	 31783
10 	 7 	 1997 	 106528 	 1490 	 0 	 21470 	 83568
11 	 7 	 1997 	 63245 	 1300 	 0 	 27880 	 34065
12 	 7 	 1997 	 100308 	 1560 	 0 	 27410 	 71338
13 	 7 	 1997 	 59539 	 1880 	 0 	 28940 	 28719
14 	 7 	 1997 	 106555 	 1640 	 0 	 25140 	 79775
15 	 7 	 1997 	 103973 	 1630 	 0 	 32760 	 69583
16 	 7 	 1997 	 134039 	 1500 	 0 	 34590 	 97949
17 	 7 	 1997 	 85928 	 1800 	 0 	 32070 	 52058
18 	 7 	 1997 	 108641 	 1910 	 0 	 29300 	 77431
19 	 7 	 1997 	 87942 	 1630 	 0 	 24480 	 61832
20 	 7 	 1997 	 77300 	 1630 	 20 	 29180 	 46470
21 	 7 	 1997 	 87808 	 1770 	 0 	 28560 	 57478
22 	 7 	 1997 	 126015 	 1670 	 0 	 21650 	 102695
23 	 7 	 1997 	 72619 	 1690 	 0 	 26100 	 44829
24 	 7 	 1997 	 95918 	 1840 	 1960 	 27890 	 64228
25 	 7 	 1997 	 86329 	 1710 	 40 	 28470 	 56109
26 	 7 	 1997 	 79442 	 74681 	 0 	 29900 	 -25139
27 	 7 	 1997 	 74300 	 1810 	 0 	 28080 	 44410
28 	 7 	 1997 	 87312 	 1670 	 0 	 31310 	 54332
29 	 7 	 1997 	 72002 	 1900 	 0 	 25570 	 44532
30 	 7 	 1997 	 94644 	 1750 	 0 	 25490 	 67404
31 	 7 	 1997 	 78810 	 1700 	 0 	 24890 	 52220
1 	 8 	 1997 	 85595 	 2200 	 0 	 27450 	 55945
2 	 8 	 1997 	 61770 	 2440 	 0 	 30440 	 28890
3 	 8 	 1997 	 92301 	 2460 	 0 	 28900 	 60941
4 	 8 	 1997 	 96382 	 2350 	 0 	 28590 	 65442
5 	 8 	 1997 	 65991 	 2150 	 0 	 24890 	 38951
6 	 8 	 1997 	 50774 	 1420 	 0 	 23120 	 26234
7 	 8 	 1997 	 113784 	 770 	 0 	 27480 	 85534
8 	 8 	 1997 	 87854 	 1670 	 0 	 30650 	 55534
9 	 8 	 1997 	 83890 	 1130 	 0 	 24620 	 58140
10 	 8 	 1997 	 28254 	 0 	 0 	 19580 	 8674
11 	 8 	 1997 	 151036 	 0 	 0 	 18490 	 132546
12 	 8 	 1997 	 62873 	 0 	 0 	 15000 	 47873
13 	 8 	 1997 	 63520 	 0 	 0 	 18830 	 44690
14 	 8 	 1997 	 56453 	 0 	 0 	 10850 	 45603
15 	 8 	 1997 	 66920 	 2180 	 60 	 20750 	 43930
16 	 8 	 1997 	 62751 	 1620 	 0 	 19620 	 41511
17 	 8 	 1997 	 35448 	 1680 	 0 	 13570 	 20198
18 	 8 	 1997 	 85220 	 1430 	 0 	 13840 	 69950
19 	 8 	 1997 	 70806 	 1470 	 0 	 9890 	 59446
20 	 8 	 1997 	 54126 	 1490 	 0 	 11270 	 41366
21 	 8 	 1997 	 77137 	 1590 	 0 	 15280 	 60267
22 	 8 	 1997 	 80282 	 1580 	 0 	 14910 	 63792
23 	 8 	 1997 	 92589 	 1200 	 0 	 16360 	 75029
24 	 8 	 1997 	 73135 	 1390 	 0 	 14140 	 57605
25 	 8 	 1997 	 64589 	 1240 	 0 	 18580 	 44769
26 	 8 	 1997 	 81250 	 1640 	 0 	 21660 	 57950
27 	 8 	 1997 	 116304 	 2580 	 70 	 23680 	 89974
28 	 8 	 1997 	 203137 	 2140 	 220 	 21900 	 178877
29 	 8 	 1997 	 251374 	 2420 	 0 	 20270 	 228684
30 	 8 	 1997 	 69255 	 2440 	 0 	 21000 	 45815
31 	 8 	 1997 	 95177 	 2560 	 0 	 22090 	 70527
1 	 9 	 1997 	 87609 	 3060 	 0 	 23930 	 60619
2 	 9 	 1997 	 104432 	 2630 	 0 	 20010 	 81792
3 	 9 	 1997 	 137314 	 3030 	 0 	 14990 	 119294
4 	 9 	 1997 	 155192 	 3100 	 0 	 15480 	 136612
5 	 9 	 1997 	 88617 	 2760 	 0 	 16230 	 69627
6 	 9 	 1997 	 152734 	 2290 	 0 	 17830 	 132614
7 	 9 	 1997 	 125637 	 2300 	 0 	 14410 	 108927
8 	 9 	 1997 	 168573 	 2580 	 0 	 20730 	 145263
9 	 9 	 1997 	 139485 	 2280 	 0 	 18200 	 119005
10 	 9 	 1997 	 182034 	 2410 	 0 	 16380 	 163244
11 	 9 	 1997 	 188221 	 2480 	 0 	 16750 	 168991
12 	 9 	 1997 	 205594 	 2480 	 0 	 20330 	 182784
13 	 9 	 1997 	 151627 	 2460 	 0 	 16990 	 132177
14 	 9 	 1997 	 152059 	 2470 	 0 	 18760 	 130829
15 	 9 	 1997 	 201858 	 2360 	 0 	 22530 	 176968
16 	 9 	 1997 	 172650 	 2610 	 0 	 20440 	 149600
17 	 9 	 1997 	 208080 	 2550 	 0 	 21370 	 184160
18 	 9 	 1997 	 215199 	 2820 	 0 	 25960 	 186419
19 	 9 	 1997 	 162753 	 2360 	 0 	 18960 	 141433
20 	 9 	 1997 	 170384 	 2630 	 0 	 11120 	 156634
21 	 9 	 1997 	 157943 	 2510 	 0 	 11490 	 143943
22 	 9 	 1997 	 153914 	 3080 	 0 	 18540 	 132294
23 	 9 	 1997 	 184531 	 3490 	 0 	 11560 	 169481
24 	 9 	 1997 	 175450 	 3520 	 0 	 12880 	 159050
25 	 9 	 1997 	 189007 	 3640 	 0 	 18390 	 166977
26 	 9 	 1997 	 179101 	 4040 	 0 	 19430 	 155631
27 	 9 	 1997 	 170028 	 4130 	 0 	 20570 	 145328
28 	 9 	 1997 	 196513 	 3940 	 0 	 19630 	 172943
29 	 9 	 1997 	 216216 	 4650 	 0 	 20370 	 191196
30 	 9 	 1997 	 49301 	 5010 	 0 	 15980 	 28311
1 	 10 	 1997 	 177232 	 4490 	 90 	 17340 	 155312
2 	 10 	 1997 	 199150 	 3660 	 0 	 23590 	 171900
3 	 10 	 1997 	 189810 	 3820 	 0 	 29230 	 156760
4 	 10 	 1997 	 183444 	 3340 	 0 	 23010 	 157094
5 	 10 	 1997 	 161394 	 3030 	 0 	 25590 	 132774
6 	 10 	 1997 	 192140 	 2770 	 0 	 18450 	 170920
7 	 10 	 1997 	 221580 	 2610 	 0 	 25420 	 193550
8 	 10 	 1997 	 193870 	 2410 	 0 	 26880 	 164580
9 	 10 	 1997 	 158525 	 2250 	 0 	 13880 	 142395
10 	 10 	 1997 	 193137 	 3080 	 0 	 19360 	 170697
11 	 10 	 1997 	 161995 	 2790 	 0 	 23370 	 135835
