Key            Name:Suffix                                Trend Definitions Used		BuildingName																
Point_1:	BURTON.YEST.STEAM.CONSUMP	Burton Hall																
Point_2:	COWLING.YEST.STEAM.CONSUMP	Cowling Recreation Center																
Point_3:	DAVIS.YEST.STEAM.CONSUMP	Davis Hall																
Point_4:	EVANS.YEST.STEAM.CONSUMP	Evans Hall																
Point_5:	GOODHUE.YEST.STEAM.CONSUMP	Goodhue Hall																
Point_6:	HULINGS.YEST.STEAM.CONSUMP	Hulings Hall																
Point_7:	LIBRARY.YEST.STEAM.CONSUMP	Gould Memorial Library																
Point_8:	MUDD.YEST.STEAM.CONSUMP	Mudd Hall of Science																
Point_9:	MUSSER.YEST.STEAM.CONSUMP	Musser Hall																
Point_10:	MYERS.YEST.STEAM.CONSUMP	Myers Hall																
Point_11:	NOURSE.YEST.STEAM.CONSUMP	Nourse Hall																
Point_12:	OLIN.YEST.STEAM.CONSUMP	Olin Hall of Science																
Point_13:	SAYLES.YEST.STEAM.CONSUMP	Sayles-Hill Campus Center																
Point_14:	SEVY.YEST.STEAM.CONSUMP	Severance Hall																
Point_15:	STHS.YEST.STEAM.CONSUMP	Student Houses																
Point_16:	WATSON.YEST.STEAM.CONSUMP	Watson Hall																
Point_17:	WEST.GYM.YEST.STEAM.CONSUMP	West Gymnasium																
Time Interval:	1 Days																	
Date Range:	7/1/2009 00:00:00 - 11/18/2011 23:59:59																	
Report Timings:	All Hours																	
																		
<>Date	Time	Point_1	Point_2	Point_3	Point_4	Point_5	Point_6	Point_7	Point_8	Point_9	Point_10	Point_11	Point_12	Point_13	Point_14	Point_15	Point_16	Point_17
8/16/09	0:00:00	0	No Data	No Data	No Data	296.54	No Data	52.23	No Data	No Data	No Data	26.13	11.35	6.39	29.92	No Data	No Data	9100.85
8/17/09	0:00:00	0	No Data	No Data	No Data	141.27	No Data	52.23	No Data	No Data	No Data	26.13	11.35	6.39	29.92	No Data	No Data	10826.24
8/18/09	0:00:00	0	No Data	No Data	No Data	141.27	No Data	52.23	No Data	No Data	No Data	26.13	11.35	6.39	29.92	No Data	No Data	12351.63
8/19/09	0:00:00	0	No Data	No Data	No Data	282.13	No Data	52.23	No Data	No Data	No Data	162.28	11.35	6.39	29.92	No Data	No Data	12846.94
8/20/09	0:00:00	0	No Data	No Data	No Data	132.03	No Data	52.23	No Data	No Data	No Data	162.28	11.35	6.39	29.92	No Data	No Data	12248.16
8/21/09	0:00:00	0	No Data	No Data	No Data	132.03	No Data	52.23	No Data	No Data	No Data	162.28	11.35	6.39	29.92	No Data	No Data	12739.55
8/22/09	0:00:00	0	No Data	No Data	No Data	132.03	No Data	52.23	No Data	No Data	No Data	162.28	11.35	6.39	29.92	No Data	No Data	14644.09
8/23/09	0:00:00	0	No Data	No Data	No Data	280.58	No Data	533.44	No Data	No Data	No Data	162.28	11.35	6.39	228.68	No Data	No Data	12419.15
8/24/09	0:00:00	0	No Data	No Data	No Data	153.18	No Data	533.44	No Data	No Data	No Data	162.28	11.35	6.39	228.68	No Data	No Data	12419.15
8/25/09	0:00:00	0	No Data	No Data	No Data	263.93	No Data	58.96	No Data	No Data	No Data	162.28	11.35	6.39	37.61	No Data	No Data	12524.52
8/26/09	0:00:00	0	No Data	No Data	No Data	263.93	No Data	58.96	No Data	No Data	No Data	162.28	11.35	6.39	37.61	No Data	No Data	11660
8/27/09	0:00:00	0	No Data	No Data	No Data	263.93	No Data	58.96	No Data	No Data	No Data	162.28	11.35	6.39	37.61	No Data	No Data	12490.55
8/28/09	0:00:00	0	No Data	No Data	No Data	263.93	No Data	58.96	No Data	No Data	No Data	162.28	11.35	6.39	37.61	No Data	No Data	13730.47
8/29/09	0:00:00	0	No Data	No Data	No Data	151.32	No Data	58.96	No Data	No Data	No Data	162.28	11.35	6.39	37.61	No Data	No Data	21644.8
8/30/09	0:00:00	0	No Data	No Data	No Data	441.62	No Data	527.68	No Data	No Data	No Data	162.28	11.35	6.39	225.41	No Data	No Data	13436.21
8/31/09	0:00:00	0	No Data	No Data	No Data	441.62	No Data	527.68	No Data	No Data	No Data	162.28	11.35	6.39	225.41	No Data	No Data	17317.22
9/1/09	0:00:00	0	No Data	No Data	No Data	1071.55	No Data	527.68	No Data	No Data	No Data	162.28	11.35	937.39	225.41	No Data	No Data	27767.25
9/2/09	0:00:00	0	No Data	No Data	No Data	579.11	No Data	527.68	No Data	No Data	No Data	162.28	11.35	4.65	225.41	No Data	No Data	28001.73
